,OBJECTID,PEC_ID,Locality,Name,Owner_Applicant,Street_Address,Parcel_ID,Acres,Building_Sq_Ft,MW_reported,Construction_Type,Build_Status,Notes,Tax_Map_link,Source_link,Lat,Long,Date_Updated,Updated_By,Lat1,Watershed,x,y
415,486,PEC-FRE-0002,Frederick County,Winchester Gateway LLC,Winchester Gateway LLC,Apple Valley Rd,63-A-801,71.85,901419,,New,Proposed,,,https://www.winchesterstar.com/winchester_star/data-center-proposed-near-kernstown-begins-review-process/article_51195033-d416-595d-b61a-25121979d8de.htmll,39.14098703,-78.20762515,2026-02-28,SEP,39.14098703,,-8706033.0078,4741886.922799997
416,487,PEC-LDN-0180,Loudoun County,DULLES DESIGN DATA CENTER,PointOne LLC,45449 E SEVERN WAY,30155049000,9.35,244400,,Redevelopment,Proposed,https://www.bizjournals.com/washington/news/2025/03/25/sterling-pointone-data-centers-acquisition-davis.html,,https://loudouncountyvaeg.tylerhost.net/prod/selfservice#/plan/dc2fe11f-3d87-4565-b5b9-6e031a330851?tab=attachments,39.02008071,-77.42761249,2026-02-28,SEP,39.02008071,,-8619202.3957,4724548.370300002
417,488,PEC-PET-0001,City of Petersburg,2233 Halifax Road,Warrenton Group,2233 Halifax Road,76030800,176.0,870000,,New,Proposed,,,https://www.wric.com/news/local-news/the-tri-cities/petersburg-council-makes-way-for-data-center-near-ramblewood-neighborhood/,37.1890805,-77.41648373,2026-02-28,SEP,37.1890805,,-8617963.5478,4465495.043099999
418,490,PEC-HAN-0006,Hanover County,OLD RIDGE ROAD LLC,OLD RIDGE ROAD LLC,10165 Old Ridge RD,7881-69-6763,205.0,,,New,Proposed,"Project covers more than one parcel, the acreage represents the combined acreage. Includes energy production",https://communitydevelopment.hanovercounty.gov/eTRAKiT/viewAttachment.aspx?Group=PROJECT&ActivityNo=SE2025-00019&key=PBMC%3a251230015219161,https://richmond.com/news/local/business/development/article_8fe9af6b-1492-4e21-adeb-76dc432aac3f.html,37.81025348,-77.44848327,2026-03-16,SEP,37.81025348,,-8621525.7203,4552655.562100001
419,491,PEC-LDN-0181,Loudoun County,George Washington University,Amazon Data Services Inc,44983 KNOLL SQ,039168997000,120.0,,,Redevelopment,Proposed,"Project covers more than one parcel, the acreage represents the combined acreage",,https://www.loudounnow.com/business/amazon-purchases-gwu-ashburn-campus/article_91c08541-300d-4345-b4d6-243945a2c7ab.htmll,39.05485513,-77.44387575,2026-03-16,SEP,39.05485513,,-8621012.8135,4729532.148000002
420,492,PEC-STA-0011,Stafford County,Potomac Creek Campus,METTS LC,South of Black Willow Pl,38 126,99.34,975000,,New,Proposed,,https://va-stafford-assessor.publicaccessnow.com/PropertySearch/PropertyDetails.aspx?p=38%20%20%20%20%20%20%20126&a=24001,https://staffordcova.portal.civicclerk.com/event/2716/files/report/9063,38.37552348,-77.43386622,2026-03-16,SEP,38.37552348,,-8619898.5578,4632611.355899997
421,493,PEC-STA-0012,Stafford County,Eskimo Hill Tech Center,HUNTERS RIDGE LLC,360 ESKIMO HILL RD,38 130,139.23,681800,,New,Proposed,This project covers multiple parcels. The total acreage has been represented here.,https://va-stafford-assessor.publicaccessnow.com/PropertySearch/PropertyDetails.aspx?p=38%20%20%20%20%20%20%20130&a=24005,https://staffordcountyva.gov/government/departments_p-z/planning_and_zoning/data_centers/index.php,38.37413015,-77.42566981,2026-03-16,SEP,38.37413015,,-8618986.1376,4632413.5097
422,494,PEC-STA-0013,Stafford County,Centreport Gateway Pemberton Tech Center,STAFFORD PROPERTY OWNER LP,385 MOUNTAIN VIEW RD,37 25,51.2,577000,,New,Proposed,One of the projects grandfathered in under the new ordinance,https://va-stafford-assessor.publicaccessnow.com/PropertySearch/PropertyDetails.aspx?p=37%20%20%20%20%20%20%20%2025&a=23482,https://staffordcountyva.gov/government/departments_p-z/planning_and_zoning/data_centers/index.php,38.37881311,-77.47111077,2026-03-16,SEP,38.37881311,,-8624044.6021,4633078.482900001
423,495,PEC-STA-0014,Stafford County,Vantage 4,VANTAGE DATA CENTERS,225 CENTREPORT PKWY,37 30,82.69,929000,,New,Proposed,,https://va-stafford-assessor.publicaccessnow.com/PropertySearch/PropertyDetails.aspx?p=37%20%20%20%20%20%20%20%2030&a=23486,https://www.vedp.org/press-release/2025-11/vantage-stafford,38.38829119,-77.46293026,2026-03-16,SEP,38.38829119,,-8623133.9519,4634424.487599999
424,496,PEC-STA-0015,Stafford County,Stafford One,STAFFORD ONE INVESTMENTS LLC,Centreport Pkwy and Richmond Hwy,46 1,38.73,474100,,New,Proposed,,https://va-stafford-assessor.publicaccessnow.com/PropertySearch/PropertyDetails.aspx?p=46%20%20%20%20%20%20%20%20%201&a=29005,https://staffordcountyva.gov/government/departments_p-z/planning_and_zoning/data_centers/index.php,38.37467836,-77.45643608,2026-03-16,SEP,38.37467836,,-8622411.0231,4632491.352399997
